GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Sun Nov 02 01:10:14 MST 2025,02-Nov-2025 01:10:14.383,-121.76870255,37.32708915,0.0,3.2160000801086426,109.0,0.0,8.07324791,-1.31202257,-6.12915611,0.06087822,
Sun Nov 02 01:10:15 MST 2025,02-Nov-2025 01:10:15.384,-121.76870257,37.32708914,0.0,3.2160000801086426,109.0,0.0,8.18816948,-2.8969841,-4.62559748,0.02210563,
Sun Nov 02 01:10:16 MST 2025,02-Nov-2025 01:10:16.382,-121.76870258,37.32708912,0.0,3.2160000801086426,109.0,0.0,9.77313137,-2.23139596,1.14442837,0.04751617,
Sun Nov 02 01:10:17 MST 2025,02-Nov-2025 01:10:17.383,-121.76870258,37.3270891,0.0,3.2160000801086426,109.0,0.0,9.6582098,-1.83395851,-0.272939,0.0215053,
Sun Nov 02 01:10:18 MST 2025,02-Nov-2025 01:10:18.383,-121.7687026,37.32708909,0.0,3.2160000801086426,109.0,0.0,9.42357826,-1.69509482,-0.24420857,-0.00465614,
Sun Nov 02 01:10:19 MST 2025,02-Nov-2025 01:10:19.384,-121.76870261,37.32708908,0.0,3.2160000801086426,109.0,0.0,10.46745014,-1.63763392,0.22984336,0.09925205,
Sun Nov 02 01:10:20 MST 2025,02-Nov-2025 01:10:20.385,-121.76870262,37.32708909,0.0,3.2160000801086426,109.0,0.0,8.82502747,-1.53228903,-0.74699092,-0.06477582,
Sun Nov 02 01:10:21 MST 2025,02-Nov-2025 01:10:21.383,-121.76870074,37.32709021,0.23999999463558197,3.2160000801086426,108.0,359.0,4.25210238,-4.1706996,-6.84262848,-0.05625474,
Sun Nov 02 01:10:22 MST 2025,02-Nov-2025 01:10:22.383,-121.76869929,37.32709206,0.23999999463558197,3.2160000801086426,107.0,359.0,5.00866985,-4.95120907,-6.7564373,0.01386702,
Sun Nov 02 01:10:23 MST 2025,02-Nov-2025 01:10:23.383,-121.76869775,37.32709323,0.0,3.2160000801086426,106.0,0.0,5.7891798,-4.91769028,-6.7660141,0.05593938,
Sun Nov 02 01:10:24 MST 2025,02-Nov-2025 01:10:24.383,-121.76869706,37.32709386,0.0,3.2160000801086426,106.0,0.0,5.12359142,-4.29519796,-6.78516769,-0.0099836,
Sun Nov 02 01:10:25 MST 2025,02-Nov-2025 01:10:25.383,-121.76869884,37.32709557,0.0,3.2160000801086426,106.0,0.0,7.4363904,-3.95522118,-6.14831018,0.08200771,
Sun Nov 02 01:10:26 MST 2025,02-Nov-2025 01:10:26.382,-121.7687011,37.32709699,0.0,3.2160000801086426,106.0,0.0,6.90008926,-3.03584766,-6.25844336,0.01775026,
Sun Nov 02 01:10:27 MST 2025,02-Nov-2025 01:10:27.383,-121.76870222,37.3270977,0.0,3.2160000801086426,106.0,0.0,4.11802673,-5.35822344,-0.42616791,-0.39494258,
Sun Nov 02 01:10:28 MST 2025,02-Nov-2025 01:10:28.383,-121.76870387,37.32709565,0.0,3.2160000801086426,106.0,0.0,9.17458057,-0.59376204,-3.53384161,0.02303094,
Sun Nov 02 01:10:29 MST 2025,02-Nov-2025 01:10:29.383,-121.76870561,37.32709667,0.0,3.2160000801086426,106.0,0.0,9.25119495,-0.55066639,-3.7301662,0.03735822,
Sun Nov 02 01:10:30 MST 2025,02-Nov-2025 01:10:30.382,-121.76870807,37.32709625,0.0,3.2160000801086426,105.0,0.0,9.22725296,-0.23463176,-3.24174905,0.01624298,
